kommun_kod,kommun_namn,email,role,forvaltning_namn,source_url,found_via
0114,Upplands Väsby,vux@upplandsvasby.se,vuxenutbildning,,http://www.upplandsvasby.se/kontakt/vuxenutbildningen,contact_page
0117,Österåker,servicecenter@osteraker.se,central,,https://www.osteraker.se/,pattern_match
0117,Österåker,kommunikationsenheten@osteraker.se,other,,https://www.osteraker.se/ovrigt/kontaktaoss/teletaltexttelefoniochandrastodnardukontaktaross.4.367d658917909e8fc2b5280.html,contact_page
0117,Österåker,fakturaskanning@osteraker.se,other,,https://www.osteraker.se/jobbforetagande/upphandlingochinkop/faktureringsinformation.4.367d658917909e8fc2b70eb.html,contact_page
0117,Österåker,ekonomi@osteraker.se,other,,https://www.osteraker.se/jobbforetagande/upphandlingochinkop/faktureringsinformation.4.367d658917909e8fc2b70eb.html,contact_page
0117,Österåker,kommunarkivet@osteraker.se,central,,https://www.osteraker.se/diarium,contact_page
0120,Värmdö,varmdo.kommun@varmdo.se,central,,https://www.varmdo.se/kontakt.4.3251048d16e2a7e784851453.html,contact_page
0120,Värmdö,dataskyddsombud@varmdo.se,other,,https://www.varmdo.se/kommunochpolitik/insynochdialog/lamnasynpunkterforslagellerklagomal.4.18c983316e0536cb18deeba.html,contact_page
0120,Värmdö,kontaktavarmdo.ekonomi@varmdo.se,other,,https://www.varmdo.se/kontakt/fakturerakommunen.4.92083c718a8d3409723494c.html,contact_page
0120,Värmdö,vux@varmdo.se,vuxenutbildning,,https://www.varmdo.se/barnochutbildning/vuxenutbildning/alltomkommunalvuxenutbildning/studieochyrkesvagledning/kontaktavuxenutbildningen.4.57741cd17802c53a6c5d3c7.html,pattern_match
0123,Järfälla,kontakt@jarfalla.se,central,,http://www.jarfalla.se/,pattern_match
0123,Järfälla,dataskydd@jarfalla.se,other,,http://www.jarfalla.se/kommunochpolitik/insynochrattssakerhet/hanteringavpersonuppgifter.4.6835195e1641249152313a94.html,contact_page
0123,Järfälla,kommunarkivet@jarfalla.se,central,,http://www.jarfalla.se/kommunochpolitik/kommunarkivet/kontaktakommunarkivet.4.49c72f5418de88c69e928c3.html,contact_page
0123,Järfälla,utbildningsnamnden@jarfalla.se,utbildning,Utbildningsnämnden,http://www.jarfalla.se/kontaktinfo/servicecenter/skrivtilloss.4.66bc235b14a5ecdf291cdeec.html,contact_page
0123,Järfälla,forskolenamnden@jarfalla.se,utbildning,Utbildningsnämnden,http://www.jarfalla.se/kontaktinfo/servicecenter/skrivtilloss.4.66bc235b14a5ecdf291cdeec.html,contact_page
