kommun_kod,kommun_namn,lan,org_nr,webbplats,diarium_url,contact_count,confidence,verified_at,notes
0114,Upplands Väsby,Stockholms län,212000-0019,http://www.upplandsvasby.se,,1,medium,2026-05-17,
0115,Vallentuna,Stockholms län,212000-0027,http://www.vallentuna.se,,0,low,2026-05-17,homepage fetch failed: fetch failed
0117,Österåker,Stockholms län,212000-2890,https://www.osteraker.se/,,5,medium,2026-05-17,
0120,Värmdö,Stockholms län,212000-0035,http://www.varmdo.se,,4,high,2026-05-17,
0123,Järfälla,Stockholms län,212000-0043,http://www.jarfalla.se,,16,high,2026-05-17,
0125,Ekerö,Stockholms län,212000-0050,http://www.ekero.se,,6,high,2026-05-17,
0126,Huddinge,Stockholms län,212000-0068,https://www.huddinge.se,,4,high,2026-05-17,
0127,Botkyrka,Stockholms län,212000-2882,http://www.botkyrka.se,,5,medium,2026-05-17,
0128,Salem,Stockholms län,212000-2874,http://www.salem.se,,6,high,2026-05-17,
0136,Haninge,Stockholms län,212000-0084,http://www.haninge.se,,6,medium,2026-05-17,
0138,Tyresö,Stockholms län,212000-0092,https://www.tyreso.se/,,4,medium,2026-05-17,
0139,Upplands-Bro,Stockholms län,212000-0100,https://www.upplands-bro.se,,6,high,2026-05-17,
0140,Nykvarn,Stockholms län,212000-2999,http://www.nykvarn.se,,1,medium,2026-05-17,
0160,Täby,Stockholms län,212000-0118,http://www.taby.se,,2,low,2026-05-17,
0162,Danderyd,Stockholms län,212000-0126,http://www.danderyd.se,,0,low,2026-05-17,homepage fetch failed: fetch failed
0163,Sollentuna,Stockholms län,212000-0134,https://www.sollentuna.se/,,5,high,2026-05-17,
0180,Stockholm,Stockholms län,212000-0142,https://start.stockholm,,0,low,2026-05-17,homepage fetch failed: fetch failed
0181,Södertälje,Stockholms län,212000-0159,http://www.sodertalje.se,,2,medium,2026-05-17,
0182,Nacka,Stockholms län,212000-0167,https://www.nacka.se/,,3,medium,2026-05-17,
0183,Sundbyberg,Stockholms län,212000-0175,http://www.sundbyberg.se,,3,high,2026-05-17,
0184,Solna,Stockholms län,212000-0183,http://www.solna.se,,1,low,2026-05-17,
0186,Lidingö,Stockholms län,212000-0191,https://www.lidingo.se/,,0,low,2026-05-17,
0187,Vaxholm,Stockholms län,212000-2908,http://www.vaxholm.se,,2,medium,2026-05-17,
0188,Norrtälje,Stockholms län,212000-0217,http://www.norrtalje.se,,4,medium,2026-05-17,
0191,Sigtuna,Stockholms län,212000-0225,http://www.sigtuna.se,,1,medium,2026-05-17,
0192,Nynäshamn,Stockholms län,212000-0233,http://www.nynashamn.se,,4,medium,2026-05-17,
0305,Håbo,Uppsala län,212000-0241,http://www.habo.se,,1,medium,2026-05-17,
0319,Älvkarleby,Uppsala län,212000-0258,http://www.alvkarleby.se,,3,high,2026-05-17,
